episode,timestep,episode_reward,episode_steps,avg_reward_100,alpha,q1_loss,q2_loss,actor_loss,alpha_loss,log_probs_mean,log_probs_min,log_probs_max,mu_mean,mu_min,mu_max,log_std_mean,log_std_min,log_std_max
54,54000,2.502558874207253,1000,6.400885608515212,0.30745482444763184,3.3755197441426703,8.848547118485534,-116.90186744377596,-0.0200036601002227,-10.537873689736504,-22.778976386698798,-1.4908294419290609,0.03767699874003389,-11.61764561110213,11.164621198397699,0.23888674598645787,-0.6887700733313827,1.6830489051458324
55,55000,2.6347650377999967,1000,6.332410689047663,0.31191426515579224,4.825991555570988,3.5985108296723354,-119.61553837770882,0.002036046134174241,-10.503577992762386,-22.648151375101154,-1.594311610402469,0.03718393651533059,-11.688059460873829,12.22108908593977,0.2335291601294354,-0.7146128362961028,1.7030410139073036
56,56000,3.6649332771633376,1000,6.284777163835443,0.3145873546600342,3.817490123259506,9.434464405271386,-121.88139499248865,-0.0009862216710128137,-10.503061225255976,-22.35440407298404,-1.680763772725142,0.01780403231074675,-10.795419497796757,12.122011070476566,0.2506158073860464,-0.7017934786181264,1.6655162847952292
57,57000,9.827885451615995,1000,6.346936958357909,0.32085052132606506,7.010401785904579,5.355692423380912,-124.51617994159363,0.025614420098796664,-10.45624870340522,-22.80263638629868,-1.6874700839593602,0.0405661556937562,-11.276498782825946,11.361426613924989,0.24969357978061466,-0.6401012132591405,1.6949231832947924
58,58000,3.4353895190051422,1000,6.296737864575965,0.3309074640274048,5.0320514442562585,4.589116425633994,-127.36842164266156,0.0022252058535180423,-10.49997781090554,-22.785876462363746,-1.402764558623148,0.042649330793184906,-11.544415091528897,11.84758912341119,0.22937926242379808,-0.7332626285053341,1.766614660629351
59,59000,17.736735108692667,1000,6.490636122950823,0.33919593691825867,4.958486110608751,5.057210619702812,-130.02915421325423,0.022044790893818913,-10.463663003994586,-22.237758656377103,-1.304345765427593,0.0915925748741599,-10.785130152695192,11.707724148697618,0.22295319584739048,-0.7381981918498808,1.664540676266496
60,60000,7.09214533127527,1000,6.500661276422898,0.3420877754688263,6.150153522382809,5.331455450797692,-132.64652815262033,-0.008866454933201012,-10.511909792790576,-22.18307372417193,-1.5016291710904404,0.11041465955477624,-11.49352676795946,12.433356016560994,0.2367404525067813,-0.7476584365862836,1.7447469911688445
61,61000,8.694798098671955,1000,6.536630732525341,0.3471665382385254,5.336334896472699,6.935494864875496,-135.20328473685584,0.032001555114053115,-10.429671476684861,-22.214396994205828,-1.6704230656018844,0.10763742860498125,-10.755480206143316,11.250747367419315,0.2082620596442812,-0.8162638770270109,1.7022865833055392
62,62000,9.139168371822631,1000,6.578607146062394,0.3520825505256653,5.889976063355878,4.567953923899006,-138.07146523775253,0.03264735558591046,-10.435064790865239,-22.30225180772341,-1.36020547799496,0.0970732675205495,-11.501698582269958,11.224698967393254,0.20380048346850363,-0.7580012726123971,1.6082403204352678
63,63000,0.8321142508892533,1000,6.487392973123138,0.35516059398651123,8.01444614396243,7.1267247952884265,-140.5504753941708,0.032571318508157227,-10.440393962214916,-21.86223876764859,-1.4592869610047838,0.09450575790742125,-11.500589520802224,11.377385956847629,0.21893222417510763,-0.7409415985257849,1.6620293812177935
64,64000,0.042386234278619414,1000,6.386689742828692,0.36377960443496704,4.895558755456959,7.788213959023258,-143.47378030487886,-0.0016377086715499132,-10.502560338968554,-22.175781147236123,-1.6820661093597087,0.08848718059246631,-11.646275060042559,11.206144836810576,0.21468074407003818,-0.7764367203904174,1.6637484423984543
65,65000,5.745065470666498,1000,6.376818600180043,0.3686526417732239,5.616376577990718,5.881423508515212,-146.27031625797548,-0.007917633460906112,-10.506026917848223,-22.345771625966844,-1.5924230392969911,0.05875817801511619,-11.226080146713398,10.860089299348903,0.21729998600902423,-0.7537639830409674,1.6861888362236408
66,66000,9.3994454243496,1000,6.422615976303824,0.37461626529693604,6.797845914706485,5.049995823416282,-148.98089997104668,0.03680347039846127,-10.419556079949265,-21.785534534349903,-1.6013910428722404,0.06898831459788728,-11.090347981166245,11.076140318318066,0.2053950134809619,-0.7838970773792394,1.641902768182398
67,67000,1.353737731188954,1000,6.346961077123005,0.3793729841709137,5.393222219547229,8.113516114004529,-151.56123078339758,0.03141080365554574,-10.429002643220596,-22.458278925114705,-1.4226447872886676,0.04031050212346186,-11.411773153873945,10.414245133094418,0.20280298782895712,-0.7844430702246208,1.5784996216092233
68,68000,9.01595700525732,1000,6.386211017242628,0.3829967975616455,10.491289658568997,6.791649929393843,-154.50339810203405,0.00165717448149932,-10.495056524796194,-22.360731211643177,-1.7074505523346624,-0.0003251213555001014,-12.049501340456178,10.794265641831807,0.22192005284839422,-0.7573957487068941,1.6765913885135661
69,69000,3.448224541728886,1000,6.343631503104748,0.39236366748809814,9.107404646457738,7.267931920026387,-157.2412586995861,0.0016579185611354532,-10.494139685127287,-22.743109021006113,-1.842302840079791,0.04471405153396742,-11.584133720824282,10.666365471099816,0.22976464796927826,-0.7292894098074315,1.6664550758359575
70,70000,13.39118630594805,1000,6.4443108574310815,0.39389070868492126,7.371998427872412,5.729206225570118,-160.08555705893656,-0.01421857387942417,-10.526995394504176,-21.49198292672034,-1.321774126136116,0.04488892165024167,-11.930910211456679,10.201880304658474,0.2098395210586028,-0.7529210121626586,1.6465718626595351
71,71000,12.621153888440285,1000,6.531308646600225,0.39593979716300964,12.341056300039432,8.565452560435329,-162.73531392179157,0.003477325893669874,-10.496137043863945,-22.138681871622385,-1.7334447137656148,0.12553291906698844,-11.796063597703052,10.568434021342743,0.22332087414099147,-0.8095746426692078,1.569532421232117
72,72000,7.489428354351779,1000,6.54461586476344,0.40256497263908386,6.828063910487455,9.807115868476695,-165.63598868363283,0.018956921956682672,-10.459203429122734,-23.170883667978465,-1.4467939406172627,0.06703336011727778,-10.923092560969533,10.166818347729484,0.22272040713390184,-0.6869565376941874,1.6175953350089973
73,73000,1.2681500200303752,1000,6.472335510726001,0.40813949704170227,8.434829240460916,7.278814079149866,-168.5101089816789,0.045426645147408386,-10.397523214219811,-22.063059758033347,-1.6364699011586896,0.06028811653316931,-11.060987197607872,10.128931434966388,0.21380418625639516,-0.7270921897243594,1.5813265211533079
74,74000,3.832375071793275,1000,6.436660369659342,0.41216611862182617,9.772268318285988,9.233453521492558,-171.35404369011445,0.01714021196258729,-10.462630837455764,-22.321487820037277,-1.64085079140528,0.005226188672900058,-11.041066385802873,10.300554701460223,0.21028086034077956,-0.6973532956148469,1.5407292762476927
75,75000,0.8094411225323352,1000,6.361630779697649,0.41158947348594666,15.528898086017026,6.26220492287643,-174.0974855385858,0.015974971391549478,-10.460198821641216,-22.490836845792433,-1.5977704754925133,0.043556251678530805,-12.473192893431062,10.757861196486799,0.2371585604331487,-0.7080094041558403,1.7201386105908778
76,76000,3.0854088860480657,1000,6.31852259688647,0.4214414954185486,9.168895691031013,6.815802471899042,-176.9979637261672,0.011376460207878924,-10.478872457777054,-21.874265851492527,-1.4245578674491695,0.042804990861100005,-11.45459103371103,10.015599943059131,0.22506220434696572,-0.6940669652935141,1.6391848398835158
77,77000,11.805754531237696,1000,6.3897853492806425,0.42577579617500305,10.615757484284954,9.354793579039848,-179.83246647108226,0.06075579425990006,-10.37340773339541,-21.614835956991175,-1.4488317742755101,0.014704300139406398,-12.106489072188683,10.165030334156125,0.22500074126137573,-0.7045469142376928,1.5877930564492484
78,78000,8.01729141005442,1000,6.410650811598255,0.43258243799209595,7.641266032074611,11.982148840261868,-182.83560392494053,0.005036850587101676,-10.49496425177477,-22.144499746953112,-1.6675996178417982,-0.022729851942875152,-11.845784478451757,10.14654423201494,0.23354742822332633,-0.704714849698242,1.6661364872533437
79,79000,4.604862549769299,1000,6.387792732334597,0.44083958864212036,9.769636310317857,9.620075972244582,-185.66717902417727,0.01308433720617721,-10.467620250927578,-21.647351150762475,-1.6395148186610975,0.039580396052736985,-11.598369045394147,9.991011089927147,0.22597329616513134,-0.6319715639443346,1.5656017526404895
80,80000,3.6021294240530115,1000,6.352971940981077,0.4392646253108978,7.6402350488463835,18.288625692450065,-188.30478879348584,0.018807909263423205,-10.469947035292309,-21.974711514485943,-1.4964066627436186,0.06062512325525773,-11.260963670757961,10.309823935184927,0.22893346952434,-0.7040197484797431,1.5729775714278653
81,81000,1.370307393514725,1000,6.291457563851863,0.4458153247833252,10.551203921221257,13.233569316440589,-191.05070565205648,0.0013227364194170683,-10.496950165609988,-21.916645121151557,-1.8938819840909613,0.07056575643286822,-11.249319651975005,9.844377517372711,0.2136623656979652,-0.6892003599158186,1.5729624832044238
82,82000,10.244310572548345,1000,6.339663088348162,0.4511222839355469,10.457755629859053,12.635814113357595,-193.91506717524967,-0.025518797291283347,-10.544149552239459,-23.119867925466984,-1.8098311102635856,0.07622704132635073,-11.362172421222848,10.539405103581306,0.2325865826523331,-0.5897962164663894,1.6292540166516227
83,83000,1.401875241976096,1000,6.280171668512354,0.4516438841819763,13.618649916902593,11.362854169527846,-196.3926228414243,-0.013345102152165224,-10.533064612330346,-22.247400021115915,-1.5798819781431512,0.028113026984948837,-10.833788170531601,9.884075571962013,0.22273588555707635,-0.6556291601879632,1.5930131236470169
