timestep,log_probs_mean,log_probs_min,log_probs_max,target_entropy,log_alpha,alpha,entropy_diff,alpha_loss,mu_mean,mu_min,mu_max,log_std_mean,log_std_min,log_std_max
21300,-14.137920379638672,-17.42327117919922,-9.350648880004883,-10.5,-0.8777142763137817,0.4157320559024811,-3.637920379638672,-3.191967248916626,0.003243992105126381,-0.31941407918930054,0.3044547140598297,-0.06036592647433281,-0.23187828063964844,0.6888425350189209
21400,-14.195162773132324,-17.40570068359375,-10.097461700439453,-10.5,-0.8926490545272827,0.4095693528652191,-3.695162773132324,-3.2973806858062744,-0.009206758812069893,-0.2940105199813843,0.2766586244106293,-0.07657680660486221,-0.27781593799591064,0.5896888971328735
21500,-14.0533447265625,-17.44060707092285,-3.801973581314087,-10.5,-0.9074989557266235,0.4035322070121765,-3.5533447265625,-3.2236039638519287,0.0076941573061048985,-0.31796324253082275,0.38863176107406616,-0.044320717453956604,-1.0323503017425537,0.3899564743041992
21600,-14.12708854675293,-17.701709747314453,-5.031078815460205,-10.5,-0.9223108887672424,0.39759916067123413,-3.6270885467529297,-3.344231605529785,-0.007664144970476627,-0.37014850974082947,0.4033082127571106,-0.056056808680295944,-1.0342788696289062,0.9906411170959473
21700,-14.134111404418945,-17.36918067932129,-9.961283683776855,-10.5,-0.9370198249816895,0.39179372787475586,-3.6341114044189453,-3.404170513153076,-0.005983272567391396,-0.36970576643943787,0.5120633840560913,-0.05708187073469162,-0.25101494789123535,0.5136401653289795
21800,-13.628369331359863,-20.480087280273438,-8.269943237304688,-10.5,-0.9512643218040466,0.38625237345695496,-3.1283693313598633,-2.9750776290893555,0.09612046927213669,-1.5670498609542847,2.5478267669677734,0.16791953146457672,-0.25406956672668457,2.0
21900,-12.87378215789795,-21.493370056152344,-4.750126838684082,-10.5,-0.9629056453704834,0.3817819654941559,-2.373782157897949,-2.2852466106414795,0.25236326456069946,-2.258756160736084,2.8182647228240967,0.49243754148483276,-0.24137330055236816,1.9990540742874146
22000,-12.058675765991211,-24.636165618896484,-2.80517578125,-10.5,-0.9714644551277161,0.37852829694747925,-1.558675765991211,-1.51395845413208,0.40275973081588745,-2.887848377227783,4.509496688842773,0.6727390885353088,-0.1920090913772583,2.0
22100,-12.347882270812988,-26.431884765625,-1.8052729368209839,-10.5,-0.9784226417541504,0.37590357661247253,-1.8478822708129883,-1.807752013206482,0.487039178609848,-3.2550528049468994,3.7738888263702393,0.6910170316696167,0.16877377033233643,2.0
22200,-11.876758575439453,-21.90972137451172,-3.0670571327209473,-10.5,-0.9849546551704407,0.3734561800956726,-1.3767585754394531,-1.355865240097046,0.6576868891716003,-4.01146936416626,4.133902549743652,0.72860187292099,0.11990129947662354,1.8141998052597046
